the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,icon
0101000020E6100000B1B830722BD152C07E7B37324CFD4340,0101000020110F0000B1874F8F72F65FC1B40287B2E68C5241,896,1401918,Se Overbrook/Haverford,no,39.97888782,-75.26827674,trash
0101000020E61000006987F4E51CD152C0F32FF03439FD4340,0101000020110F0000C29152D959F65FC1A78C99A6D18C5241,897,1401919,7547 Haverford Ave,yes,39.97830831,-75.26738881,trash
0101000020E6100000F33C9B85CFCA52C05BC27E80AEF94340,0101000020110F0000F670E75DA5EB5FC19D1DDBECE4885241,898,1401920,Se 17th/Sansom,no,39.95063788,-75.16891613,trash
0101000020E6100000E529BA294DC652C0B11BFF7D0CFF4340,0101000020110F00006C277292FCE35FC19F33939CD78E5241,899,1401921,Ne Tioga/Aramingo (Dunkin Donuts),no,39.99256873,-75.09845966,trash
0101000020E6100000E6F22B52B7C852C0A08F46F800FC4340,0101000020110F000006695A9316E85FC11859F19C778B5241,900,1401922,Se Front/Girard,no,39.9687796,-75.13618902,trash
0101000020E6100000645E38867FC652C0C9FC3656DBFE4340,0101000020110F0000F781A41D52E45FC16FDAD21EA18E5241,901,1401923,Nw Ontario/Aramingo,yes,39.99106863,-75.10153347,trash
0101000020E6100000882FB56719C952C02814B44405FF4340,0101000020110F0000AA4B6D2EBDE85FC1889D859ACF8E5241,902,1401924,Nw 6th/Lehigh,yes,39.99234828,-75.1421756,trash
0101000020E61000004DE22F93A7CD52C0EC948C21E7004440,0101000020110F0000F32BC6097AF05FC1EA1D8AD5E5905241,903,1401925,Se Monument/City Line,yes,40.00705356,-75.21335296,trash
0101000020E610000004FECF166CCE52C016DB3D4FE0FA4340,0101000020110F00000C9956D6C7F15FC10CDE46BF378A5241,904,1401926,5212 Market st.,no,39.95997038,-75.22534724,trash
0101000020E61000006EFC9910EACA52C075F959B3B4F94340,0101000020110F00007814E373D2EB5FC1408EE8CAEB885241,905,1401927,Sw 18th/Sansom,no,39.95082704,-75.17053618,trash
0101000020E6100000FCF18450E6CE52C02CF5C5D1FCFA4340,0101000020110F000066D20D7397F25FC1F9935856578A5241,906,1401928,Se 56th/Market,no,39.96084044,-75.23280728,trash
0101000020E61000002AFCEB1E2DD152C00C307A824FFD4340,0101000020110F0000C5E38D6775F65FC1F57AB05EEA8C5241,907,1401929,Sw Overbrook/Haverford ave,yes,39.97898894,-75.26837895,trash
0101000020E6100000852B7B9696C952C04D333F68CC004440,0101000020110F00007BA918D191E95FC15B85F733C8905241,908,1401930,Germantown Ave. and W Atlantic St. East Side,no,40.00623801,-75.14981615,trash
0101000020E610000039FF2CEEA8D052C09FFEE7D2BDFC4340,0101000020110F0000BD49A4DD94F55FC1E8B1CAE7488C5241,909,1401931,Sw Brockton rd/Haverford ave,yes,39.97454296,-75.26031069,trash
0101000020E6100000DBBC8FF3CBCE52C0F377CAD4E6FD4340,0101000020110F00000C1C45AB6AF25FC1B0366F17928D5241,910,1401932,Nw 54th/Hazelhurst,no,39.98360691,-75.23119821,trash
0101000020E61000005874EA9AD0CA52C0EFB1B2FE97F94340,0101000020110F0000802AF134A7EB5FC1C9A67EFDCB885241,911,1401933,Ne 17th/Walnut,yes,39.94995102,-75.16898225,trash
0101000020E610000095186ADED0CA52C04D653CF995F94340,0101000020110F0000456098A7A7EB5FC1EAAF36C0C9885241,912,1401934,Se 17th/Walnut,no,39.94988933,-75.16899834,trash
